,FKZ,Zuwendungsempfänger,Ausführende Stelle,Thema,Leistungsplansystematik,Klartext Leistungsplansystematik,Laufzeit von,Laufzeit bis,Fördersumme in EUR,Förderprofil,Verbundprojekt,Förderart,year,accelerator_related
3820,05P09RDRB5,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Physik - Institut für Kernphysik,R&D BESCHLEUNIGER: Entwicklung einer digitalen FPGA-basierten HF-Regelung für den pLinac Teststand und Aufbau einer 1 GHz DDS zur Synchronisation der HF Anlagen,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2009-07-01,2013-03-31,253800,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2009,True
3821,05P09RDRBD,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Material- und Geowissenschaften - FG Chemische Analytik,R&D BESCHLEUNIGER: Szintillator-Materialien zur Hochstrom-Diagnose,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2009-07-01,2012-09-30,95500,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2009,True
3824,05P09PCDTE,Ruhr-Universität Bochum,Ruhr-Universität Bochum - Fakultät für Physik und Astronomie - Institut für Theoretische Physik II,"DESY-THEORIE: Nichtperturbative und perturbative QCD: Anwendung auf HERMES, ZEUS, H1, COMPASS, PANDA und TOTEM(LHC). Untersucht werden hadronische Prozesse zur Aufklärung der Quark-Gluon-Struktur des Nukleons.",U02023,Hadronen- und Kernphysik - Aktivitäten an anderen internationalen Beschleunigern,2009-07-01,2012-10-31,186800,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2009,True
3837,05H09PXE,Bergische Universität Wuppertal,Bergische Universität Wuppertal - Fachbereich C - Mathematik und Naturwissenschaften - Fachgruppe Physik,Verbundprojekt HEP-THEORIE: Theoretische Untersuchungen zur Higgs-Produktion an Hadron-Beschleunigern,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2009-07-01,2012-06-30,127787,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2009 - THEORIE,PDIR,2009,True
3846,05P09RGDHE,Justus-Liebig-Universität Gießen,"Justus-Liebig-Universität Gießen - FB 07 - Mathematik und Informatik, Physik, Geographie - Physik - II. Physikalisches Institut",DESY-HERMES: Analyse exklusiver Streuereignisse des HERMES Experiments,U02023,Hadronen- und Kernphysik - Aktivitäten an anderen internationalen Beschleunigern,2009-07-01,2014-07-31,205775,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2009,True
3854,05P09VHFA7,Universität Heidelberg,Universität Heidelberg - Fakultät für Physik und Astronomie - Kirchhoff-Institut für Physik,FAIR-APPA: Entwicklung von Mikrokalorimeter-Arrays für die hochauflösende Photonenspektroskopie in Präzisionsexperimenten der SPARC-Kollaboration am Beschleunigerzentrum GSI-FAIR,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2009-07-01,2012-06-30,127600,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2009,True
3855,05P09UMSB8,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Kernphysik",SLAC-BABAR: Messung des hadronischen Wirkungsquerschnitts und seltener B-Zerfälle,U02023,Hadronen- und Kernphysik - Aktivitäten an anderen internationalen Beschleunigern,2009-07-01,2012-06-30,213000,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2009,True
3860,05H09PX5,Bergische Universität Wuppertal,Bergische Universität Wuppertal - Fachbereich C - Mathematik und Naturwissenschaften - Fachgruppe Physik,Verbundprojekt R&D BESCHLEUNIGER (Supraleitende Kavitäten): Charakterisierung und Optimierung von Niob-Oberflaechen zur Reduktion der Elektronen-Feldemission,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2009-07-01,2012-06-30,135124,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2009 - R&D BESCHLEUNIGER (Supraleitende Kavitäten),PDIR,2009,True
3863,05H09VK7,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Institut für Experimentelle Teilchenphysik (ETP),Verbundprojekt R&D DETEKTOREN: Forschung und Entwicklung innovativer Detektorsysteme für ausgewählte Beschleunigeranlagen,U01012,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten bei DESY,2009-07-01,2012-06-30,308190,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2009 - R&D DETEKTOREN,PDIR,2009,True
3864,05P09HRSBE,Universität Rostock,Universität Rostock - Mathematisch-Naturwissenschaftliche Fakultät - Institut für Physik - Lehrstuhl für Experimentalphysik/Elementarteilchenphysik,SLAC-BABAR: Untersuchung von CP-Verletzung und Baryonproduktion in B-Meson-Zerfällen mit BABAR,U02023,Hadronen- und Kernphysik - Aktivitäten an anderen internationalen Beschleunigern,2009-07-01,2013-12-31,212650,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2009,True
3875,05P09PKCI5,Universität zu Köln,Universität zu Köln - Mathematisch-Naturwissenschaftliche Fakultät - Fachgruppe Physik - Institut für Kernphysik,"CERN-ISOLDE: Studium exotischer Atomkerne am Schwerionensynchrotron SIS der GSI und am Isotopenseparator ISOLDE /CERN. Entwicklungen für HISPEC / DESPEC, R3B und AGATA am Beschleuniger FAIR der GSI.",U02021,Hadronen- und Kernphysik - Aktivitäten beim CERN,2009-07-01,2012-12-31,1601050,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2009,True
3900,05H09HR5,Universität Rostock,Universität Rostock - Fakultät für Informatik und Elektrotechnik - Institut für Allgemeine Elektrotechnik,Verbundprojekt R&D BESCHLEUNIGER (Supraleitende Kavitäten): Design der HOM-Dämpfungsmaßnahmen für den Supraleitenden Protonen-Linac (SPL),U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2009-09-01,2012-06-30,341106,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2009 - R&D BESCHLEUNIGER (Supraleitende Kavitäten),PDIR,2009,True
3920,05P09RFRB8,Johann Wolfgang Goethe-Universität Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main - FB 13 Physik - Institut für Angewandte Physik,R&D BESCHLEUNIGER: Prototypentwicklungen für leistungsstärkere FAIR-Injektoren,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2009-07-01,2012-12-31,908650,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2009,True
3925,05P09RFRB9,Johann Wolfgang Goethe-Universität Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main - FB 13 Physik - Institut für Angewandte Physik,R&D BESCHLEUNIGER: Entwicklung von Ringbeschleuniger-Komponenten,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2009-07-01,2012-12-31,314450,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2009,True
3926,05K14XXA,European X-Ray Free-Electron Laser Facility GmbH,European X-Ray Free-Electron Laser Facility GmbH,Verbundprojekt 05K2014 - EDYN_EMRAD: Untersuchungen zur Elektronenstrahldynamik und zu den Eigenschaften elektromagnetischer Strahlung in Freie-Elektronen-Lasern und Elektronenspeicherringen. Teilprojekt 1,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2014-10-01,2018-04-30,348016,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2014 - EDYN_EMRAD,PDIR,2014,True
3934,05K14CHB,Deutsches Elektronen-Synchrotron (DESY),Deutsches Elektronen-Synchrotron (DESY),Verbundprojekt 05K2014 - GALAPAD-2: Entwicklung großflächiger Hybrid-Pixel-Detektoren basierend auf GaAs:Cr Sensoren und Medpix3RX Chips für Synchrotronstrahlung und Neutronenquellen. Teilprojekt 2,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2014-10-01,2017-09-30,354519,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2014 - GALAPAD-2,PDIR,2014,True
3935,05K14CHC,Deutsches Elektronen-Synchrotron (DESY),Deutsches Elektronen-Synchrotron (DESY),Verbundprojekt 05K2014 - XFELSEED: Implementierung von Komponenten für die selbst-stimulierte Emission am European XFEL. Teilprojekt 1,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2014-10-01,2018-09-30,1415170,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2014 - XFELSEED,PDIR,2014,True
3950,05H15GURBB,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt 05H2015 - R&D BESCHLEUNIGER (SRF): Verbesserung von SRF-Resonatoren durch Oberflächenbehandlung einschließlich mechanischer Politur und thermischer Behandlung mit Stickstoff,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2015-07-01,2018-06-30,524808,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2015 - R&D BESCHLEUNIGER (SRF),PDIR,2015,True
3954,05H15GURBA,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik u. Naturwissenschaften - Fachbereich Physik - II. Institut für Theoretische Physik","Verbundprojekt 05H2015 - R&D BESCHLEUNIGER (POSITRONENQUELLEN): Untersuchungen der Lastwechselfestigkeit von Target- und Kollimatormaterial, Materialdegradierung durch ionisierende Strahlung, Design von effektiven Kühlungsmethoden und von Methoden zur Yield-Optimierung",U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2015-07-01,2018-12-31,348097,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2015 - R&D BESCHLEUNIGER (POSITRONENQUELLEN),PDIR,2015,True
3967,05P15PERB1,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Zentrum für Synchrotronstrahlung,Verbundprojekt 05P2015 - R&D BESCHLEUNIGER (HADRONENBESCHLEUNIGER): Untersuchung kollektiver Instabilitäten und ihrer Dämpfung für die Erweiterung des Large Hadron Collider auf hohe Luminosität,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2015-07-01,2018-05-31,129028,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05P2015 - R&D BESCHLEUNIGER (HADRONENBESCHLEUNIGER),PDIR,2015,True
3986,05P15SJRBA,Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena - Physikalisch-Astronomische Fakultät - Institut für Optik und Quantenelektronik,"Verbundprojekt 05P2015 - R&D BESCHLEUNIGER (CCC): Entwicklung, Sensoroptimierungen und Tests von kryogenen Stromkomparatoren zum Einsatz an neuartigen Ionenquellen, Beschleunigeranlagen und Speicherringen",U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2015-07-01,2018-06-30,505061,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05P2015 - R&D BESCHLEUNIGER (CCC),PDIR,2015,True
3997,05H15RDRBA,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Material- und Geowissenschaften - FG Dünne Schichten,Verbundprojekt 05H2015 - R&D BESCHLEUNIGER (SRF): Weiterentwicklung der supraleitenden Hochfrequenztechnologie durch Erhöhung der Güten sowie der Bereitstellung hoher Beschleunigungsfeldstärken in supraleitenden Resonatoren durch Nutzung neuer Materialien wie NbN und Nb3Sn.,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2015-07-01,2018-06-30,641437,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2015 - R&D BESCHLEUNIGER (SRF),PDIR,2015,True
4001,05H15HRRBA,Universität Rostock,Universität Rostock - Fakultät für Informatik und Elektrotechnik - Institut für Allgemeine Elektrotechnik,Verbundprojekt 05H2015 - R&D BESCHLEUNIGER (SRF): Optimierung von SRF-Resonatoren und HOM-Kopplern unter Berücksichtigung geometrischer Unsicherheiten,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2015-07-01,2018-09-30,126141,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2015 - R&D BESCHLEUNIGER (SRF),PDIR,2015,True
4002,05H15UMRB1,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Kernphysik",Verbundprojekt 05H2015 - R&D BESCHLEUNIGER (POSITRONENQUELLEN): Lastwechseltests am Targetmaterial der Positronenquelle für zukünftige Linearkollider,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2015-07-01,2018-06-30,327357,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2015 - R&D BESCHLEUNIGER (POSITRONENQUELLEN),PDIR,2015,True
4003,05H15RDRB1,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Physik - Institut für Kernphysik,Verbundprojekt 05H2015 - R&D BESCHLEUNIGER (POSITRONENQUELLEN): Brillante polarisierte Elektronenstrahlen aus gekühlten GaAs-Photokathoden für Quellen polarisierter Positronen,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2015-07-01,2018-12-31,319797,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2015 - R&D BESCHLEUNIGER (POSITRONENQUELLEN),PDIR,2015,True
4012,05P15RDRBB,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05P2015 - R&D BESCHLEUNIGER (CCC): Simulation und Optimierung einer elektromagnetischen Abschirmung für einen kryogenen Stromkomparator,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2015-07-01,2018-06-30,123395,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05P2015 - R&D BESCHLEUNIGER (CCC),PDIR,2015,True
4066,05K19WEB,Friedrich-Alexander-Universität Erlangen-Nürnberg,Friedrich-Alexander-Universität Erlangen-Nürnberg - Naturwissenschaftliche Fakultät - Department Physik - Institut für Physik der kondensierten Materie - Lehrstuhl für Laserphysik,Verbundprojekt 05K2019 - DLA-e-prep: Dielektrische Laser-Beschleunigung zur Elektronen-Strahl-Präparation. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-06-30,429002,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - DLA-e-prep,PDIR,2019,True
4067,05K19PSB,Universität Siegen,Universität Siegen - Institut für Werkstofftechnik - Lehrstuhl für Oberflächen- und Werkstofftechnologie,Verbundprojekt 05K2019 - BETH: Hochbrilliante Elektronenstrahlen generiert durch neuartige thermisch widerstandsfähige Photokathoden. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,382097,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - BETH,PDIR,2019,True
4085,05K19GU6,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt 05K2019 - optics4XI: Entwicklung von Spezial-Röntgenoptiken für biomedizinische Bildgebung mittels Röntgenfluoreszenz für Synchrotron- wie laser-basierte Röntgenquellen. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,1003982,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - optics4XI,PDIR,2019,True
4088,05K19KT1,Technische Universität Berlin,Technische Universität Berlin - Fakultät II - Mathematik und Naturwissenschaften - Institut für Optik und Atomare Physik,Verbundprojekt 05K2019 - optics4XI: Entwicklung von Spezial-Röntgenoptiken für biomedizinische Bildgebung mittels Röntgenfluoreszenz für Synchrotron- wie laser-basierte Röntgenquellen. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,425309,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - optics4XI,PDIR,2019,True
4090,05K19WMB,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München - Fakultät für Physik,Verbundprojekt 05K2019 - ULFI: Ultraschnelle Bildgebung in Plasmen. Teilprojekt 2: Quantitative Shadowgraphie der Dichtemodulation strahlgetriebener Plasmawellen.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2023-02-28,206916,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - ULFI,PDIR,2019,True
4091,05K19GUB,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt 05K2019 - SMART: SIS Mehrfachschichtsysteme für Anwendungen in der supraleitenden Hochfrequenztechnik. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-09-30,539819,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - SMART,PDIR,2019,True
4092,05K19CBA,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung,Verbundprojekt 05K2019 - SMART: SIS Mehrfachschichtsysteme für Anwendungen in der supraleitenden Hochfrequenztechnik. Teilprojekt 4.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-06-30,399650,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - SMART,PDIR,2019,True
4093,05K19RDD,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05K2019 - SMART: SIS Mehrfachschichtsysteme für Anwendungen in der supraleitenden Hochfrequenztechnik. Teilprojekt 3.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-06-30,268015,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - SMART,PDIR,2019,True
4094,05K19VF3,Albert-Ludwigs-Universität Freiburg,Albert-Ludwigs-Universität Freiburg - Fakultät für Mathematik und Physik - Physikalisches Institut,Verbundprojekt 05K2019 - STAR: Moderne Seeding-Methoden für Strahlung im XUV- und Angström-Bereich. Teilprojekt 2: Phasenmodulierte Seedpulse für kohärente XUV Spektroskopie am sFLASH.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,317053,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - STAR,PDIR,2019,True
4095,05K19RDB,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05K2019 - PlasmaFEL: Laser-Plasma-Beschleuniger getriebene FEL - Erste Demonstration und fortschrittlicher Strahltransport. Teilprojekt 3.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-06-30,268015,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - PlasmaFEL,PDIR,2019,True
4097,05K19GUC,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt 05K2019 - STAR: Moderne Seeding-Methoden für Strahlung im XUV- und Angström-Bereich. Teilprojekt 1: EEHG und Harmonic Lasing.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,687558,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - STAR,PDIR,2019,True
4106,05K19SJC,Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena - Physikalisch-Astronomische Fakultät - Institut für Optik und Quantenelektronik,Verbundprojekt 05K2019 - ULFI: Ultraschnelle Bildgebung in Plasmen. Teilprojekt 1: Zeitaufgelöste Bildgebung von relativistischen Plasmawellen mit ultra-kurzen Elektronenpulsen und optischer Kohärenztomographie.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,227856,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - ULFI,PDIR,2019,True
4109,05K19GUA,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt 05K2019 - PlasmaFEL: Laser-Plasma-Beschleuniger getriebene FEL - Erste Demonstration und fortschrittlicher Strahltransport. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,370842,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - PlasmaFEL,PDIR,2019,True
4110,05K19RDE,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05K2019 - DLA-e-prep: Dielektrische Laser-Beschleunigung zur Elektronen-Strahl-Präparation. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-06-30,298615,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - DLA-e-prep,PDIR,2019,True
4111,05K19RDC,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,"Verbundprojekt 05K2019 - Advanced-BAM: Entwicklung eines neuen Ankunftzeitmonitores mit sehr hoher Bandbreite für sehr geringe Ladungen als Teil der optischen Synchronisationssysteme von XFEL, FLASH und ELBE. Teilprojekt 3.",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-06-30,77218,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - Advanced-BAM,PDIR,2019,True
4113,05K19GUD,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt 05K2019 - LADIAG: Neue Diagnostiken für Hoch-Intensitätslaser. Teilprojekt 1: Numerische Stabilitätsanalyse und 3D Feldmessung mittels räumlich aufgelöster Fourier-Spektroskopie.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,472978,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - LADIAG,PDIR,2019,True
4116,05K19SJB,Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena - Physikalisch-Astronomische Fakultät - Institut für Optik und Quantenelektronik,Verbundprojekt 05K2019 - LADIAG: Neue Diagnostiken für Hoch-Intensitätslaser. Teilprojekt 2: Entwicklung von Diagnostiken für die Messung der räumliche-zeitlichen Kopplungen sowie des Winkel-aufgelösten zeitlichen Kontrasts von Laserpulsen.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-06-30,215330,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - LADIAG,PDIR,2019,True
4122,05K19SJ1,Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena - Physikalisch-Astronomische Fakultät - Institut für Optik und Quantenelektronik,Verbundprojekt 05K2019 - LISELatDREAMS: Entwicklung eines Systems zur selektiven Filterung von Isobaren mittels Laser zur Erweiterung der Anwendbarkeit von Beschleuniger-Massenspektrometrie. Teilprojekt 1.,U03053,Erforschung kondensierter Materie - Teilchenstrahlen,2019-07-01,2022-12-31,753503,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - LISELatDREAMS,PDIR,2019,True
4123,05K19SJA,Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena - Physikalisch-Astronomische Fakultät - Institut für Optik und Quantenelektronik,Verbundprojekt 05K2019 - E-CUBE: Elektronenstrahlen mit extremer Emittanz - Realisierung des 'Trojan Horse'-Injektorkonzepts und Simulation von Beschleunigung mit ultra-kleiner Emittanz. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,309348,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - E-CUBE,PDIR,2019,True
4126,05K19CBB,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung,"Verbundprojekt 05K2019 - TiMo: Timing-Modi für fortschrittliche Synchrotronstrahlungsquellen. Teilprojekt 1: Teil C: Transversale Resonante Insel Buckets (TRIBs) Injektion - Injektion in eine Zwei Orbit Maschine, Teil D: Timing-Modi wie VSR, TRIBs und low alpha in Diffraction Limited Storage Rings (DLSRs).",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,271747,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - TiMo,PDIR,2019,True
4133,05K19PFB,Heinrich-Heine-Universität Düsseldorf,Heinrich-Heine-Universität Düsseldorf - Mathematisch-Naturwissenschaftliche Fakultät - Physik - Institut für Laser- und Plasmaphysik,Verbundprojekt 05K2019 - LADIAG: Neue Diagnostiken für Hoch-Intensitätslaser. Teilprojekt 3: Spektral und räumlich auflösender invertierter Feld-Autokorrelator.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-06-30,143990,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - LADIAG,PDIR,2019,True
4136,05K19PFA,Heinrich-Heine-Universität Düsseldorf,Heinrich-Heine-Universität Düsseldorf - Mathematisch-Naturwissenschaftliche Fakultät - Physik - Institut für Laser- und Plasmaphysik,Verbundprojekt 05K2019 - E-CUBE: Elektronenstrahlen mit extremer Emittanz - Realisierung des 'Trojan Horse'-Injektorkonzepts und Simulation von Beschleunigung mit ultra-kleiner Emittanz. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-06-30,456707,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - E-CUBE,PDIR,2019,True
4162,05P09KHSB5,Humboldt-Universität zu Berlin,Humboldt-Universität zu Berlin - Mathematisch-Naturwissenschaftliche Fakultät - Institut für Physik,"SLAC-BABAR: Datenanalyse, Simulation und GridKa-Betrieb",U02023,Hadronen- und Kernphysik - Aktivitäten an anderen internationalen Beschleunigern,2009-07-01,2012-06-30,200000,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2009,True
4178,05H09MG5,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen - Fakultät für Physik - II. Physikalisches Institut,Verbundprojekt R&D BESCHLEUNIGER (Supraleitende Kavitäten): Entwicklung von supraleitenden Kavitäten für zukünftige Teilchenbeschleuniger,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2009-07-01,2012-06-30,15258,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2009 - R&D BESCHLEUNIGER (Supraleitende Kavitäten),PDIR,2009,True
4189,05K10CBA,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung - Bereich Großgeräte,Verbundprojekt RGL: Ausbau des russisch-deutschen Labors bei BESSY-II. Teilprojekt 2: Undulator-Strahlung für hochauflösende Untersuchungen an nanoskopischen Systemen,U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,2010-10-01,2014-09-30,1492361,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2010 - RGL,PDIR,2010,True
